,APM,Tcell,IFNgamma,PDL1
TCGA-AY-6196,1.705089935,0.764641066,3.159062041,1.781208034
TCGA-AY-6197,1.713087638,0.084295456,2.432166284,1.723632145
TCGA-AY-6386,1.666411117,-0.449625244,2.277655101,1.129303108
TCGA-AY-A54L,1.526668708,-0.434762302,1.557182198,0.753199914
TCGA-AY-A69D,1.624663014,-0.486619757,2.111084989,1.238966434
TCGA-AY-A71X,1.58451348,-0.707639966,1.715257477,0.77787611
TCGA-AY-A8YK,1.638145249,-0.62576996,1.792963221,0.785920359
TCGA-AZ-4313,1.689766704,-0.599833259,2.462826589,1.15347339
TCGA-AZ-4315,1.622078819,-0.462037224,3.065338088,1.140391755
TCGA-AZ-4323,1.667227815,0.675141418,2.717781659,1.313253293
TCGA-AZ-4614,1.664011423,-0.469939025,2.529602623,0.630224411
TCGA-AZ-4615,1.736050882,0.007098462,3.399034626,1.849547779
TCGA-AZ-4616,1.733211146,-0.434009688,3.125996457,2.412625162
TCGA-AZ-4682,1.644628623,-0.684202166,2.046001713,0.878102234
TCGA-AZ-4684,1.669120483,-0.214431036,2.478509239,1.196496742
TCGA-AZ-5403,1.504765197,-0.720689624,2.102930511,0.873814498
TCGA-AZ-5407,1.582945662,-0.254499969,2.113097905,0.704750904
TCGA-AZ-6598,1.659779333,-0.226663033,2.62285307,1.298820339
TCGA-AZ-6599,1.618952866,-0.021438349,1.78835272,1.137898221
TCGA-AZ-6600,1.698765116,-0.263464232,2.210472226,1.211486306
TCGA-AZ-6601,1.723775358,0.307004997,3.143701546,1.683563919
TCGA-AZ-6603,1.665134834,-0.358493426,3.031251927,1.692562288
TCGA-AZ-6605,1.690593862,0.029468215,2.758635434,1.382555522
TCGA-AZ-6606,1.689848016,-0.415469817,2.078129781,1.407132461
TCGA-AZ-6607,1.646701512,0.301512904,2.791772365,2.249176336
TCGA-AZ-6608,1.64197107,-0.71030922,1.855251146,0.586260899
TCGA-CA-5254,1.621094085,-0.590716775,2.311243636,1.375286757
TCGA-CA-5255,1.650540262,-0.711152778,2.296250127,0.816201515
TCGA-CA-5256,1.567726112,-0.769370146,2.652827756,0.950608225
TCGA-CA-5796,1.583098382,-0.431031953,2.266445342,1.05013218
TCGA-CA-5797,1.688251451,-0.415728634,2.754419847,1.110899329
TCGA-CA-6715,1.601017381,-0.506413448,1.717588635,0.636076476
TCGA-CA-6716,1.458008373,-0.283515722,1.778553052,0.841384501
TCGA-CA-6717,1.561902046,0.247849168,2.898334591,1.613545851
TCGA-CA-6718,1.753020042,0.429593752,3.816438944,2.47080873
TCGA-CA-6719,1.688926982,-0.177442692,2.607677524,1.423219652
TCGA-CK-4947,1.68064487,0.088191084,2.635961029,1.209933023
TCGA-CK-4948,1.637382001,-0.554478033,2.146809054,1.130333768
TCGA-CK-4950,1.67324428,-0.343127351,2.506610646,1.433368146
TCGA-CK-4951,1.731383307,-0.172124455,3.233750883,1.883043332
TCGA-CK-4952,1.594898703,-0.166916233,2.047278523,1.434525792
TCGA-CK-5912,1.640316597,-0.311531571,2.058059136,0.953469743
TCGA-CK-5913,1.704695481,-0.034642911,2.780712997,1.789443916
TCGA-CK-5914,1.721994612,-0.088825778,2.969377971,1.507676452
TCGA-CK-5915,1.466773531,-0.304575471,1.560952505,0.61366215
TCGA-CK-5916,1.68560924,0.160581792,3.255563022,1.874481238
TCGA-CK-6746,1.752879438,0.338095347,3.417979485,2.045107734
TCGA-CK-6747,1.648303242,-0.342438909,2.690618421,1.105677058
TCGA-CK-6748,1.545914088,-0.369671803,2.257550948,1.15872124
TCGA-CK-6751,1.682837865,-0.197758661,2.462182293,1.026034541
TCGA-CM-4743,1.691754099,-0.552118457,3.394882767,2.060501419
TCGA-CM-4744,1.708992047,-0.223472689,3.168065431,1.423385154
TCGA-CM-4747,1.541307587,-0.44022605,2.194995697,1.045362103
TCGA-CM-4751,1.7240472,-0.140094347,3.069540173,1.647564866
TCGA-CM-5344,1.606388442,-0.519630801,2.130269744,0.924144841
TCGA-CM-5348,1.704586973,-0.165079314,2.528614873,1.559481694
TCGA-CM-5349,1.588753548,-0.53928081,2.364069099,1.146180768
TCGA-CM-5860,1.692040849,-0.413632347,2.789953212,1.368586231
TCGA-CM-5861,1.733714393,-0.387379492,2.773765508,1.332331388
TCGA-CM-5862,1.531734674,-0.446180248,1.912760735,0.630224411
TCGA-CM-5863,1.615362908,-0.423535943,2.436868666,1.295666042
TCGA-CM-5864,1.605511982,-0.270887972,2.348920564,1.049915436
TCGA-CM-5868,1.645231082,-0.506296222,2.171822105,0.892651034
TCGA-CM-6161,1.611051964,0.055332783,2.445311278,1.390132864
TCGA-CM-6162,1.721502625,0.28641124,3.030022314,2.047508506
TCGA-CM-6163,1.666478132,-0.056590449,2.594832691,1.408680822
TCGA-CM-6164,1.702939892,-0.236430508,2.887389725,1.337734726
TCGA-CM-6165,1.681998196,0.077221499,2.734780661,1.155150739
TCGA-CM-6166,1.45138257,-0.283043859,1.968514022,0.762708566
TCGA-CM-6167,1.588803773,0.401960559,2.52812708,1.214003576
TCGA-CM-6168,1.674918044,0.133416808,2.724022671,1.659534005
TCGA-CM-6169,1.711528948,0.741443275,3.166336219,1.830820829
TCGA-CM-6170,1.646860675,-0.16826195,2.532668972,1.427804086
TCGA-CM-6171,1.626664065,0.118379632,2.540868182,1.67521908
TCGA-CM-6172,1.649170914,-0.284041623,2.113108872,0.815969366
TCGA-CM-6674,1.596702498,-0.237553465,2.924140012,1.292765404
TCGA-CM-6675,1.664457092,-0.37613058,2.407480521,1.15524188
TCGA-CM-6676,1.456345853,-0.465492283,2.09138694,0.89580915
TCGA-CM-6677,1.662272628,-0.468678302,2.743395988,1.269587655
TCGA-CM-6678,1.534942966,-0.417614069,1.818628594,0.607036612
TCGA-CM-6679,1.649000463,-0.115155905,2.398510094,1.036061707
TCGA-CM-6680,1.651867853,0.2265886,2.884750725,1.683690794
TCGA-D5-5537,1.596824423,-0.623550162,2.112966217,0.809121833
TCGA-D5-5538,1.688224077,-0.031212131,2.7943551,1.769477025
TCGA-D5-5539,1.595909226,-0.304832254,2.398290549,1.150857712
TCGA-D5-5540,1.37650769,-0.388104413,2.840048241,1.198060209
TCGA-D5-5541,1.660868712,-0.151652626,2.920076116,1.468424138
TCGA-D5-6529,1.69447719,0.060631317,2.874641086,1.809604825
TCGA-D5-6530,1.702507919,0.224989525,3.079799056,1.834995779
TCGA-D5-6531,1.721350525,-0.14337736,2.99700455,1.764768492
TCGA-D5-6532,1.663002381,-0.364435503,2.130167137,0.694982301
TCGA-D5-6533,1.704902053,-0.436566547,2.608826293,1.637566775
TCGA-D5-6534,1.709202552,0.490750751,3.113042642,2.077357002
TCGA-D5-6535,1.721712022,-0.228589935,2.938507136,1.756045492
TCGA-D5-6536,1.622123396,-0.278820507,1.8746902,1.521721112
TCGA-D5-6537,1.630376555,-0.3118399,2.446855264,1.432372728
TCGA-D5-6538,1.481645551,-0.439746568,1.368364368,0.278273326
TCGA-D5-6539,1.675623681,-0.384493599,2.316589104,1.16107438
TCGA-D5-6540,1.72035507,0.15371572,2.683558806,1.485056703
TCGA-D5-6541,1.686993948,-0.275562683,3.156830105,1.583074024
TCGA-D5-6898,1.65564955,-0.243219784,2.7853201,1.578455828
TCGA-D5-6920,1.703419633,-0.130791591,2.421203219,1.70081271
TCGA-D5-6922,1.712119748,-0.343739027,2.782320876,1.367732271
TCGA-D5-6923,1.689052814,-0.399432862,2.424524595,1.366379993
TCGA-D5-6924,1.666014931,-0.03122556,2.993744005,1.720951065
TCGA-D5-6926,1.668986609,-0.369215423,2.914127423,1.751201324
TCGA-D5-6927,1.694253141,0.114607472,2.990851103,2.027292514
TCGA-D5-6928,1.753334988,1.455862094,3.794470314,2.648147203
TCGA-D5-6929,1.644749294,-0.363910312,2.4516904,1.065930593
TCGA-D5-6930,1.726756473,-0.108188472,3.019854207,1.604874849
TCGA-D5-6931,1.701684242,-0.084270688,2.593262979,1.620054812
TCGA-D5-6932,1.695046181,-0.185368864,2.325394176,0.959994838
TCGA-D5-7000,1.686046772,-0.293349296,2.669980023,1.659846821
TCGA-DM-A0X9,1.67109708,-0.380651946,2.620887449,1.151388239
TCGA-DM-A0XD,1.643652141,-0.598107847,2.097162716,0.927909047
TCGA-DM-A0XF,1.61517099,-0.403746791,2.72273947,0.812946763
TCGA-DM-A1D0,1.509088007,-0.654224498,1.383675023,0.47693302
TCGA-DM-A1D4,1.652186751,-0.196948405,2.401126659,0.739121203
TCGA-DM-A1D6,1.625901191,-0.60846051,1.560841083,0.718958164
TCGA-DM-A1D7,1.616720351,-0.288848434,2.218833479,0.769665283
TCGA-DM-A1D8,1.698268308,-0.375312372,2.222779943,0.981791435
TCGA-DM-A1D9,1.634881499,-0.365057504,2.20272456,0.967459049
TCGA-DM-A1DA,1.684287243,-0.358282411,2.292425506,0.847893326
TCGA-DM-A1DB,1.601551615,-0.247802148,2.531062581,0.647470994
TCGA-DM-A1HA,1.739129233,-0.579157142,2.586633036,1.533267333
TCGA-DM-A1HB,1.557672094,-0.43000379,1.785499055,1.308417134
TCGA-DM-A280,1.583101254,-0.708570528,1.523198696,1.129706001
TCGA-DM-A282,1.503703211,-0.595028281,1.958325301,0.496098992
TCGA-DM-A285,1.562057526,-0.842034003,1.870854986,0.730523882
TCGA-DM-A288,1.565819292,-0.354968327,1.29247329,0.51054501
TCGA-DM-A28A,1.682565923,-0.553503778,2.521900393,1.197947343
TCGA-DM-A28C,1.590667465,-0.164821768,1.728032523,0.423049168
TCGA-DM-A28E,1.682632007,-0.304555913,2.09842585,0.88848839
TCGA-DM-A28F,1.690099443,-0.691668568,2.427772973,1.002597981
TCGA-DM-A28G,1.489487403,-0.256692475,2.094262853,0.669288981
TCGA-DM-A28H,1.373225137,-0.791343422,1.875433569,0.929924457
TCGA-DM-A28K,1.712358174,-0.545293631,2.167934385,1.075258553
TCGA-DM-A28M,1.670487902,-0.548552996,2.101540874,0.784681469
TCGA-F4-6459,1.590615545,-0.542012375,2.300187895,0.998716938
TCGA-F4-6460,1.623158123,-0.18126137,2.428842295,1.037673458
TCGA-F4-6461,1.635872631,-0.376421522,2.465118212,1.311724201
TCGA-F4-6463,1.631240804,-0.283005492,2.525200275,0.903089987
TCGA-F4-6569,1.658983611,-0.03319005,2.436260441,1.138075226
TCGA-F4-6570,1.734898352,0.1415897,3.307999464,1.873869663
TCGA-F4-6703,1.729247709,0.737679558,3.614116635,2.336027225
TCGA-F4-6704,1.709062304,-0.135170382,2.658985469,1.167656956
TCGA-F4-6805,1.675049503,-0.102781055,2.620451584,1.50359868
TCGA-F4-6806,1.659491077,-0.326120989,2.426799474,1.06880531
TCGA-F4-6807,1.697611614,0.102776291,3.003725484,1.758608386
TCGA-F4-6808,1.638533834,-0.61719363,1.749252155,0.967964287
TCGA-F4-6809,1.66327828,0.004789218,2.520385371,1.048033732
TCGA-F4-6854,1.682447599,-0.369024174,2.724913777,1.385286243
TCGA-F4-6855,1.527786744,-0.061575168,2.196329477,1.239647276
TCGA-F4-6856,1.585468306,-0.233721116,2.530552836,1.298195681
TCGA-F4-6857,1.675462449,0.860274857,2.748288317,1.313778666
TCGA-G4-6293,1.703137692,-0.225957443,2.777934539,1.79222074
TCGA-G4-6294,1.64718111,-0.211105448,2.095310755,1.011523925
TCGA-G4-6295,1.735257049,0.505239556,2.922504317,1.550273615
TCGA-G4-6297,1.727779971,-0.095337772,2.745974146,1.200330565
TCGA-G4-6298,1.492651636,-0.691786607,1.73437521,0.577951128
TCGA-G4-6299,1.720170181,0.299901197,2.827493545,1.092510112
TCGA-G4-6302,1.682846035,0.023710222,2.546622766,1.485613549
TCGA-G4-6303,1.606190066,-0.208734603,2.245642999,1.30689874
TCGA-G4-6304,1.697264995,-0.395026412,2.780895026,1.059953237
TCGA-G4-6306,1.710770583,-0.32331822,2.440965847,1.088479843
TCGA-G4-6307,1.526705869,-0.744015871,1.699119619,0.602287936
TCGA-G4-6309,1.562472067,-0.181135496,2.216418629,0.977440078
TCGA-G4-6310,1.562481299,-0.396277468,1.695339499,0.88854453
TCGA-G4-6311,1.663107014,-0.523641606,2.242571852,1.165573707
TCGA-G4-6314,1.587670576,-0.290990198,2.375548727,0.896663979
TCGA-G4-6315,1.602828016,-0.682438802,1.721616693,0.885576052
TCGA-G4-6317,1.56433555,-0.559446532,1.795926427,0.571790327
TCGA-G4-6320,1.620591924,-0.363605609,1.944790622,0.60470114
TCGA-G4-6321,1.694827659,-0.277713716,2.030665253,1.273848189
TCGA-G4-6322,1.711684432,-0.389376457,2.461878553,1.373059196
TCGA-G4-6323,1.626992794,-0.040259398,2.283921515,1.147932807
TCGA-G4-6586,1.70851848,-0.173539916,2.785487751,1.539109988
TCGA-G4-6588,1.700614754,-0.149289458,2.549432411,1.519146496
TCGA-G4-6625,1.746779786,0.355018217,3.16360575,1.931222352
TCGA-G4-6626,1.706505153,-0.758247908,2.361297885,1.108636047
TCGA-G4-6627,1.667655033,0.16459534,2.824425056,1.434314959
TCGA-G4-6628,1.740011126,0.364717947,3.497448794,1.964780848
TCGA-NH-A50T,1.600056404,-0.849283647,1.908299234,0.888235673
TCGA-NH-A50U,1.68644098,-0.270272603,1.751053935,0.889559401
TCGA-NH-A50V,1.653006982,0.121963542,2.742722051,1.488976342
TCGA-NH-A5IV,1.549688458,0.099645415,2.744732721,1.383709471
TCGA-NH-A6GA,1.689809555,-0.356904565,2.094084072,1.108433092
TCGA-NH-A6GB,1.701469291,-0.26753389,2.519090796,1.449899376
TCGA-NH-A6GC,1.61614547,-0.364175563,1.743510265,1.222680062
TCGA-NH-A8F7,1.568365733,-0.67406639,1.728276772,1.051630948
TCGA-NH-A8F8,1.693420268,-0.462494231,2.273605616,1.023054821
TCGA-QG-A5YV,1.643430292,-0.336584371,2.360760549,1.035013256
TCGA-QG-A5YW,1.700233896,-0.393148717,2.748233379,1.449621855
TCGA-QG-A5YX,1.653224446,-0.604403231,1.982979693,0.827905347
TCGA-QG-A5Z1,1.476076238,-0.325790004,1.960131248,0.702258163
TCGA-QG-A5Z2,1.703345582,0.269477277,2.753417675,1.448437314
TCGA-QL-A97D,1.735558236,0.138216022,2.736534047,1.45327705
TCGA-RU-A8FL,1.667892007,-0.522333389,1.483466847,0
TCGA-SS-A7HO,1.378372214,-0.420485112,1.684681213,1.13417073
TCGA-T9-A92H,1.701965419,-0.517908925,2.252935232,0.973774194
TCGA-WS-AB45,1.67032075,0.637076182,2.712840427,1.967182322
TCGA-A6-2672,1.74001093,0.389575728,3.320955354,2.025823508
TCGA-A6-2674,1.68734604,0.042277757,2.577224883,1.78913855
TCGA-A6-2676,1.749124585,-0.024541624,3.282227794,1.808061681
TCGA-A6-2677,1.550242418,-0.237553784,2.074482478,0.93083839
TCGA-A6-2681,1.641709165,-0.519108738,2.375830301,1.2010915
TCGA-A6-3807,1.727315307,-0.482869337,2.99235179,1.719828532
TCGA-A6-3808,1.658097212,-0.028152762,2.658378816,1.399116176
TCGA-A6-3809,1.703752663,0.255029372,3.179482378,1.766677272
TCGA-A6-3810,1.7024636,-0.130567268,3.036345396,1.454329808
TCGA-A6-4107,1.617362763,-0.350966432,2.350613984,0.969181846
TCGA-AA-3488,1.625180179,-1.048249403,2.036199589,1.210916536
TCGA-AA-3494,1.541522981,-0.54017853,2.266440261,1.222544706
TCGA-AA-3510,1.705610378,-0.298152008,2.692472291,1.187361887
TCGA-AA-3519,1.677460056,-0.66285482,2.312309546,1.18601188
TCGA-AA-3521,1.629535852,-0.196165422,2.375007891,1.171430877
TCGA-AA-3524,1.620010185,-0.484670032,2.229806563,1.235726451
TCGA-AA-3529,1.528778559,-0.653207337,2.104242681,0.91472452
TCGA-AA-3530,1.610065242,0.051243388,2.394941645,1.238025896
TCGA-AA-3532,1.740299572,-0.190114836,3.083427401,1.740816636
TCGA-AA-3538,1.47630836,-0.384930491,2.232539316,0.821789352
TCGA-AA-3542,1.543235039,-1.1418343,2.024450011,0.970967024
TCGA-AA-3543,1.72428422,-0.01846654,3.197484194,1.830019079
TCGA-AA-3544,1.719709117,-0.198697553,2.984329018,1.537475894
TCGA-AA-3548,1.683345285,-0.53788008,2.515638416,1.332878647
TCGA-AA-3549,1.688503776,-0.256331145,2.355411978,1.515144775
TCGA-AA-3552,1.709197586,-0.271771652,2.724833808,1.45182218
TCGA-AA-3553,1.690879523,-0.157297595,2.964132196,1.560199262
TCGA-AA-3555,1.607859015,-0.408656557,2.713329811,1.43558686
TCGA-AA-3560,1.582083175,-0.409242181,2.391916147,1.328763302
TCGA-AA-3561,1.561182701,-0.482399948,2.452368554,1.134555283
TCGA-AA-3664,1.672575814,-0.042480009,2.678507549,1.438666146
TCGA-AA-3666,1.705334842,-0.325374612,2.783811199,1.591190582
TCGA-AA-3667,1.666321229,-0.726889617,2.015106734,0.969268826
TCGA-AA-3673,1.665917431,-0.18745218,2.438548914,1.175959347
TCGA-AA-3678,1.669983621,-0.339506325,2.628372951,1.520600698
TCGA-AA-3679,1.689035277,-0.551492972,2.433806385,1.134557841
TCGA-AA-3680,1.568676907,-0.162525732,2.287287513,1.300221121
TCGA-AA-3681,1.691021792,-0.149727603,2.792040239,1.582224455
TCGA-AA-3684,1.684248883,-0.296852824,2.108461418,1.005857513
TCGA-AA-3688,1.659398265,-0.442913493,2.333732705,0.928700327
TCGA-AA-3692,1.603307479,-0.360440078,2.247726423,1.190208293
TCGA-AA-3693,1.578108663,-0.331387844,2.104177717,0.761922303
TCGA-AA-3695,1.518138473,-0.63887209,1.22050608,2.151490865
TCGA-AA-3696,1.469032182,-0.251107856,2.062081609,1.088473293
TCGA-AA-3710,1.743062059,0.081492665,3.516664612,2.177008157
TCGA-AA-3715,1.745506334,0.019995899,3.159770839,2.185442248
TCGA-AA-3811,1.70543884,0.057577542,2.812865729,1.477344328
TCGA-AA-3812,1.647539606,-0.737046297,1.959606862,0.790156878
TCGA-AA-3814,1.648469069,-0.279342799,2.847093663,1.426862336
TCGA-AA-3815,1.701100845,0.225886655,3.255999867,1.963913422
TCGA-AA-3818,1.598166319,-0.565564768,2.454586335,0.912918154
TCGA-AA-3819,1.582017115,-0.48588042,2.006027911,1.047581841
TCGA-AA-3821,1.684456892,-0.030761141,2.575260206,1.257081284
TCGA-AA-3831,1.55771515,-0.115722228,2.409529201,1.103415716
TCGA-AA-3833,1.631183593,-0.275240512,2.560180016,1.376291784
TCGA-AA-3837,1.643533532,-0.407226028,2.159255734,-0.051743998
TCGA-AA-3841,1.631584822,-0.596676907,2.292960582,0.818728863
TCGA-AA-3842,1.641384017,-0.449749343,2.507311363,1.138633471
TCGA-AA-3844,1.670704282,-0.310119504,2.719415572,1.556246759
TCGA-AA-3845,1.718113589,0.11787076,3.158621999,2.097885306
TCGA-AA-3846,1.696841626,-0.044732359,2.634180554,1.3151479
TCGA-AA-3848,1.704069345,-0.627769434,2.00310347,0.892526084
TCGA-AA-3850,1.65654544,-0.203479784,2.470683531,1.440093107
TCGA-AA-3851,1.677941253,-0.350353454,2.783499841,1.430983855
TCGA-AA-3852,1.686244047,-0.548017308,2.510362075,1.234213458
TCGA-AA-3854,1.619009643,-0.63705464,2.230838192,1.364666164
TCGA-AA-3855,1.677845907,-0.222304216,2.451365227,1.311975105
TCGA-AA-3856,1.702988565,-0.31191379,2.949391714,1.543844019
TCGA-AA-3858,1.643847618,-0.571060176,2.512591589,0.943199353
TCGA-AA-3861,1.620024433,-0.329683016,2.545041987,1.309798721
TCGA-AA-3862,1.708181553,-0.205430336,3.052592722,1.258966739
TCGA-AA-3864,1.64308524,-0.14996526,2.628105796,1.32679687
TCGA-AA-3866,1.732399526,-0.069856447,3.118717474,1.838998552
TCGA-AA-3867,1.562554548,-0.452288555,2.145899131,0.787294082
TCGA-AA-3869,1.697156962,-0.271598367,2.857844186,1.472040001
TCGA-AA-3870,1.664394482,-0.114744097,2.505928329,1.529647879
TCGA-AA-3872,1.68982776,-0.269934797,2.635534355,1.161803904
TCGA-AA-3875,1.650479106,-0.356546424,2.631114947,1.44964458
TCGA-AA-3877,1.698068446,-0.096635163,3.022280749,1.777917092
TCGA-AA-3930,1.70471752,-0.158478149,2.578248565,1.268118885
TCGA-AA-3939,1.516625609,-0.294776615,2.459775752,1.014160941
TCGA-AA-3941,1.496570089,-0.001870935,2.151020398,0.81538497
TCGA-AA-3947,1.329922921,0.257089389,3.023053069,1.69837979
TCGA-AA-3949,1.689961364,0.114316028,3.517300831,2.188195466
TCGA-AA-3950,1.670614119,0.105746294,3.080076733,1.600715355
TCGA-AA-3952,1.570509109,-0.888444554,2.31782631,0.645938059
TCGA-AA-3955,1.589770368,-0.422988515,2.298324521,1.093551515
TCGA-AA-3956,1.602829906,-0.420986557,2.382908971,1.155390233
TCGA-AA-3966,1.602365124,0.095288627,3.135622694,1.901348617
TCGA-AA-3968,1.671709246,-0.093638453,2.708063297,1.264608921
TCGA-AA-3970,1.674716509,-0.235998908,2.62744751,1.355591253
TCGA-AA-3971,1.685163348,-0.204280114,2.704395843,1.426207003
TCGA-AA-3973,1.636509594,-0.199655653,2.133618429,1.266395638
TCGA-AA-3975,1.642541389,-0.261947483,2.405796086,1.104471729
TCGA-AA-3976,1.566644392,-0.489388539,2.266342957,1.147086154
TCGA-AA-3977,1.694149833,-0.27759388,3.104970586,1.319836491
TCGA-AA-3979,1.69825056,-0.701063841,2.230315901,1.564096638
TCGA-AA-3980,1.685654623,-0.054340033,2.960221517,1.51293836
TCGA-AA-3982,1.682188869,-0.089645914,2.794118127,0.878710518
TCGA-AA-3984,1.668994701,0.182196632,2.954288663,1.597166623
TCGA-AA-3986,1.683778488,0.081867955,3.032939189,1.591871206
TCGA-AA-3989,1.663517852,-0.367626395,2.725632085,1.1117585
TCGA-AA-3994,1.682292257,-0.545397974,2.371333525,1.24435915
TCGA-AA-A004,1.678062642,-0.568213185,1.9501961,-0.051743998
TCGA-AA-A00A,1.627274585,0.182240865,3.040272206,1.511581277
TCGA-AA-A00D,1.740557021,0.764593049,3.338459109,1.672606773
TCGA-AA-A00E,1.738519986,-0.072645492,2.960397439,1.583402247
TCGA-AA-A00F,1.620733487,-0.355522945,2.164154217,1.153330062
TCGA-AA-A00J,1.376290582,0.012119889,2.473040552,1.579408061
TCGA-AA-A00K,1.598975183,-0.350255992,2.133742999,1.211786881
TCGA-AA-A00L,1.708686293,-0.409405486,2.067721478,1.118260387
TCGA-AA-A00N,1.681386912,-0.355276568,2.573644781,1.487951594
TCGA-AA-A00O,1.629712399,0.043198113,2.46941196,1.081632146
TCGA-AA-A00Q,1.652552319,-0.308802011,2.689368045,1.335040035
TCGA-AA-A00R,1.736822657,0.477236467,3.445141942,1.932207337
TCGA-AA-A00U,1.661195774,-0.235172902,2.367227253,1.182714909
TCGA-AA-A00W,1.685063734,-0.239828438,1.980854825,0.91180203
TCGA-AA-A00Z,1.661983275,-0.343081781,2.582667123,1.473738671
TCGA-AA-A010,1.521847021,-0.155146121,2.798702596,-0.051743998
TCGA-AA-A017,1.614128587,-0.458321662,2.041931418,0.82439131
TCGA-AA-A01C,1.669208257,-0.637663203,2.515396652,1.136158663
TCGA-AA-A01D,1.590155653,-0.361662082,2.425238728,1.293200996
TCGA-AA-A01F,1.671909178,-0.367847895,2.097633768,0.8392078
TCGA-AA-A01G,1.690840599,-0.276224943,2.08520102,0.681974702
TCGA-AA-A01I,1.627052726,0.217890796,2.63016067,1.106788996
TCGA-AA-A01K,1.684913157,-0.276077711,2.590879163,1.431046033
TCGA-AA-A01Q,1.646125992,0.080782203,2.737457624,2.271011967
TCGA-AA-A01R,1.755595245,0.172108491,3.25477079,1.496959475
TCGA-AA-A01S,1.632172592,-0.913081596,1.733865938,0.496060963
TCGA-AA-A01T,1.717989678,-0.85879245,2.406684845,1.049497325
TCGA-AA-A01V,1.707878367,-0.332430529,2.444964481,1.507800228
TCGA-AA-A022,1.751408655,0.061430191,3.301404479,2.127423577
TCGA-AA-A024,1.602350693,-0.373615663,2.011011487,0.84359766
TCGA-AA-A029,1.641468668,-0.661826654,1.900646354,1.169343918
TCGA-AA-A02E,1.674862085,-0.205966525,2.170470652,0.858229601
TCGA-AA-A02F,1.527505469,-0.392614615,1.825358456,1.161251918
TCGA-AA-A02H,1.62513516,-0.405797799,2.210759054,0.949692723
TCGA-AA-A02J,1.549210272,-0.684024245,1.715457931,0.820893401
TCGA-AA-A02O,1.653379656,-0.490273212,2.06441583,0.850298614
TCGA-AA-A02R,1.754693119,0.213213838,3.532394715,1.973537826
TCGA-AA-A02W,1.562905366,-0.020717006,2.332439889,1.084935695
TCGA-AA-A03F,1.661903857,-0.582200379,1.766047632,-0.051743998
TCGA-AA-A03J,1.722604318,-0.362427927,2.733591145,1.420871576
TCGA-AY-4070,1.659330295,-0.201117583,2.507470917,1.310676691
TCGA-AY-4071,1.695886833,-0.270494823,2.667617417,1.478312165
TCGA-AZ-4308,1.68158911,-0.976396413,2.077738366,0.63709805
TCGA-AZ-4681,1.666752245,-1.205736463,1.7053424,0.446322226
TCGA-CM-4746,1.593350594,-0.820804605,2.314173214,1.257016184
TCGA-CM-4748,1.645046999,-0.706256976,1.959850644,-0.051743998
TCGA-CM-4750,1.720173733,-0.610325055,2.440161946,0.532278091
TCGA-CM-4752,1.716573057,-0.442318577,3.045146654,1.358752339
TCGA-CM-5341,1.577553062,-0.171451708,3.15708023,1.371812664
TCGA-IC-A6RF,1.711398639,0.016354774,2.684774755,2.077473286
TCGA-L5-A88T,1.659498038,-0.335924359,2.390195838,1.597359465
TCGA-2H-A9GF,1.698931932,-0.022829463,2.058657889,1.006548488
TCGA-2H-A9GG,1.671649824,0.346036271,2.814422069,1.390645084
TCGA-2H-A9GH,1.650464992,-0.028146242,2.309899314,1.101437579
TCGA-2H-A9GI,1.707914013,0.175583263,2.231891619,1.047621972
TCGA-2H-A9GJ,1.633146431,0.017985204,1.830417596,0.819246116
TCGA-2H-A9GK,1.682010581,0.821348928,2.856168931,1.979460204
TCGA-2H-A9GL,1.660837021,0.852735952,2.794621016,1.707355539
TCGA-2H-A9GM,1.635394852,-0.026842905,2.640142246,1.293763802
TCGA-2H-A9GN,1.605367692,0.054567078,2.457037921,1.822743333
TCGA-2H-A9GO,1.467360839,-0.545806892,1.702425619,0.68412769
TCGA-2H-A9GQ,1.667849211,-0.163614875,1.722562705,1.234041883
TCGA-2H-A9GR,1.651817068,0.035615375,2.599894909,0.998934788
TCGA-IC-A6RE,1.701292909,0.122262526,2.499470523,1.28926607
TCGA-IG-A3I8,1.462620911,-0.004830406,1.998885494,1.154281645
TCGA-IG-A3QL,1.494242476,-0.646717182,1.721725931,1.937320644
TCGA-IG-A3Y9,1.67803186,-0.12314549,2.2951635,1.8053299
TCGA-IG-A3YA,1.605788848,0.887387495,2.772662477,1.743461614
TCGA-IG-A3YB,1.709475079,0.154252943,3.138454156,1.513213235
TCGA-IG-A3YC,1.728470754,0.531610866,3.295994356,1.917463812
TCGA-IG-A4P3,1.750559244,0.73679283,3.581492669,2.243447436
TCGA-IG-A4QS,1.685679953,-0.111982151,2.714864129,1.230916224
TCGA-IG-A4QT,1.719053333,2.341665139,3.057339248,1.78965721
TCGA-IG-A50L,1.62830789,0.137435104,2.519332633,1.848273082
TCGA-IG-A51D,1.734905377,0.184307137,3.205495198,1.709251569
TCGA-IG-A5B8,1.725351584,-0.491115984,2.871703595,1.584609241
TCGA-IG-A5S3,1.589779872,0.223083963,2.617266973,1.281409694
TCGA-IG-A625,1.671201302,0.053072141,2.573728598,2.459089207
TCGA-IG-A6QS,1.72393471,-0.049707217,3.294451655,2.469861493
TCGA-IG-A7DP,1.74698841,2.191152408,3.894453909,2.032436662
TCGA-IG-A8O2,1.700976339,-0.368545726,2.922238981,0.943050115
