,APM,Tcell,IFNgamma,PDL1
TCGA-2F-A9KT,1.468851823,-0.793555157,1.78025298,0.513377434
TCGA-2F-A9KW,1.567797944,-0.247385353,2.211974383,2.242640798
TCGA-4Z-AA7M,1.55876134,-0.899406646,1.755495034,1.054942289
TCGA-4Z-AA7N,1.664253036,1.49279584,2.944679158,1.928505948
TCGA-4Z-AA7O,1.697908474,-0.137903191,2.938506288,1.090085147
TCGA-4Z-AA7Q,1.744314257,-0.033674688,3.474275302,2.154490923
TCGA-4Z-AA7R,1.424927577,-0.52573793,1.885590217,0.658993414
TCGA-4Z-AA7S,1.161080275,-0.298291745,1.568810968,0.780583713
TCGA-4Z-AA7W,1.751581392,0.412328191,3.661303557,1.932212907
TCGA-4Z-AA7Y,1.515440772,-0.33304125,1.749216849,0.781626144
TCGA-4Z-AA80,1.643353594,-0.673813869,2.248441431,1.338918433
TCGA-4Z-AA81,1.753958766,-0.180290935,3.422298462,2.541712756
TCGA-4Z-AA82,1.712800029,-0.215530146,2.454377045,1.462339589
TCGA-4Z-AA83,1.679533766,-0.472294896,2.602725375,1.725464046
TCGA-4Z-AA84,1.503302626,-0.592969907,1.945641569,2.083961039
TCGA-4Z-AA86,1.738253898,0.555572969,3.430205326,2.22976117
TCGA-4Z-AA87,1.474356064,-0.668563901,2.692376621,2.170364408
TCGA-4Z-AA89,1.679621963,-0.488912527,2.380621457,1.053946165
TCGA-5N-A9KI,1.706418147,-0.649767245,2.237055742,1.274312597
TCGA-5N-A9KM,1.579370053,-0.367384641,2.383588965,0.534939449
TCGA-BL-A0C8,1.509144549,-0.580401363,1.881441425,0.962274605
TCGA-BL-A13I,1.664598689,0.329094168,2.70216207,1.388506165
TCGA-BL-A13J,1.553700661,-0.454049394,2.292047912,1.802551392
TCGA-BL-A3JM,1.647802827,-0.236956113,2.621951799,1.597707249
TCGA-BL-A5ZZ,1.604633599,-0.012882508,2.231264719,1.814046388
TCGA-BT-A0S7,1.505469484,-0.120407892,1.914020608,0.607326324
TCGA-BT-A0YX,1.671496621,-0.141374646,2.911047548,1.624316137
TCGA-BT-A20J,1.67362473,0.304832047,3.265513399,1.792742486
TCGA-BT-A20N,1.515860463,-0.605447039,2.192991491,1.008987458
TCGA-BT-A20O,1.741568791,1.35763676,3.830213073,2.176551367
TCGA-BT-A20P,1.566551279,-0.63227011,1.93199102,0.83124891
TCGA-BT-A20Q,1.701660818,0.128894492,3.015747386,1.465709936
TCGA-BT-A20R,1.588562286,-0.456509376,2.246045247,1.231421163
TCGA-BT-A20T,1.724449292,-0.105755314,3.002716336,1.140520613
TCGA-BT-A20U,1.670194669,-0.20125512,2.642530269,1.127224699
TCGA-BT-A20V,1.719493641,-0.51998072,2.707593992,2.620454629
TCGA-BT-A20W,1.612814473,0.057499365,2.544458825,1.159179042
TCGA-BT-A20X,1.591222288,-0.044550418,2.791521095,1.424780398
TCGA-BT-A2LA,1.519707008,-0.509546741,1.53437775,0.337539124
TCGA-BT-A2LB,1.629368237,-0.281291684,2.740545323,1.592085668
TCGA-BT-A2LD,1.708258311,-0.332886661,2.429225809,2.26115815
TCGA-BT-A3PH,1.300162266,-0.815085823,1.525623185,0.652642732
TCGA-BT-A3PJ,1.752023774,0.17666865,3.319638861,2.528165673
TCGA-BT-A3PK,1.70459114,0.09936456,3.006308552,2.103132953
TCGA-BT-A42C,1.497237897,-0.309053515,1.816996262,0.892155845
TCGA-BT-A42E,1.714662542,0.428237218,3.431046816,1.824442161
TCGA-BT-A42F,1.72023068,0.229171728,3.263278812,1.989132881
TCGA-C4-A0EZ,1.16925429,-0.233081577,2.003246703,0.322508728
TCGA-C4-A0F0,1.61172259,-0.360567247,2.690480277,1.861359941
TCGA-C4-A0F1,1.704560008,-0.125900552,2.84607044,1.667995249
TCGA-C4-A0F6,1.46304584,-0.403084369,2.231209025,0.9923414
TCGA-C4-A0F7,1.578545693,0.007821752,1.989917322,1.353160027
TCGA-CF-A1HR,1.651850702,-0.325051651,2.178665833,0.947036499
TCGA-CF-A1HS,1.676449424,-0.079582126,2.526971218,1.88260308
TCGA-CF-A27C,1.551026516,-0.044782725,1.843008465,1.247393821
TCGA-CF-A3MF,1.377602808,-0.417048608,1.423178113,1.22773249
TCGA-CF-A3MG,1.329840033,-0.5195366,1.31020936,0.758858926
TCGA-CF-A3MH,1.468767757,-0.364654926,1.709142549,0.343467677
TCGA-CF-A3MI,1.501388622,-0.504770692,1.960560653,0.581312362
TCGA-CF-A47S,1.629918866,-0.502117671,2.614706879,1.086822357
TCGA-CF-A47T,1.370673131,-0.782781178,1.260002515,0.205258512
TCGA-CF-A47V,1.662941923,-0.156683364,2.261344575,1.067476306
TCGA-CF-A47W,1.528926142,-0.83741663,1.549017049,0.633660311
TCGA-CF-A47X,1.539156805,-0.594994094,1.851435917,1.047364444
TCGA-CF-A47Y,1.479928519,-0.4284922,1.750562357,0.700366186
TCGA-CF-A5U8,1.484679664,-0.643679184,1.692040026,0.412561339
TCGA-CF-A5UA,1.507146462,-0.577237817,1.485913615,0.1752218
TCGA-CF-A7I0,1.449807893,-0.251305455,1.945681593,0.648769714
TCGA-CF-A8HX,1.354595232,-0.485384163,1.508420296,0.452016566
TCGA-CF-A8HY,1.47624143,-0.84413201,1.460285871,0.225748524
TCGA-CF-A9FF,1.546926171,-0.111178798,2.163775107,1.034231275
TCGA-CF-A9FH,1.705021408,-0.30747678,2.446560804,1.457053375
TCGA-CF-A9FL,1.495233576,-0.273280722,1.854664556,0.787842882
TCGA-CF-A9FM,1.577804449,-0.114419012,2.111088102,1.518729717
TCGA-CU-A0YN,1.578869709,0.308414636,2.416343143,1.642511014
TCGA-CU-A0YO,1.679673009,0.035569097,2.735338336,1.74952298
TCGA-CU-A0YR,1.68163828,-0.236721994,3.012121154,2.275470298
TCGA-CU-A3KJ,1.68009876,0.11926808,2.706904178,1.631425504
TCGA-CU-A3QU,1.612230512,-0.347774977,1.731713717,2.035113409
TCGA-CU-A3YL,1.550637527,-0.506485248,2.296407519,0.752140678
TCGA-CU-A5W6,1.553107219,-0.489466031,2.391604717,1.124716104
TCGA-CU-A72E,1.54133834,-0.489221916,1.983439157,0.802308405
TCGA-DK-A1A3,1.54844948,-0.596192014,2.929295525,1.23488916
TCGA-DK-A1A5,1.711463091,-0.195835122,2.956208343,1.613322683
TCGA-DK-A1A6,1.705397828,0.066706065,2.903653131,1.835143714
TCGA-DK-A1A7,1.4621971,-0.51230435,1.935603753,0.951755096
TCGA-DK-A1AA,1.589656019,-0.222074406,2.013150914,0.902106282
TCGA-DK-A1AB,1.695101242,-0.038711179,3.467153246,1.714670019
TCGA-DK-A1AC,1.562704378,0.260897712,2.901569897,2.721296079
TCGA-DK-A1AD,1.622745413,-0.361746992,2.584106938,0.761995457
TCGA-DK-A1AE,1.665272355,-0.018092935,2.445030644,1.468645621
TCGA-DK-A1AF,1.696105275,0.339760561,2.882296554,1.77997363
TCGA-DK-A1AG,1.58583531,-0.36069856,2.001572734,0.595771702
TCGA-DK-A2HX,1.568457251,-0.205770559,2.035673246,1.04034121
TCGA-DK-A2I1,1.623199394,-0.551478141,2.916178549,0.88925687
TCGA-DK-A2I2,1.711016874,-0.332965037,2.853943283,1.752086879
TCGA-DK-A2I4,1.742123018,1.120636687,3.721174914,2.919236084
TCGA-DK-A2I6,1.590277003,-0.489986474,2.678072289,2.409249882
TCGA-DK-A3IK,1.551635191,-0.69328962,2.265617135,0.940327187
TCGA-DK-A3IL,1.261979274,-0.768596327,1.815885757,0.871876369
TCGA-DK-A3IM,1.5839006,-0.573955681,2.109783909,1.051943183
TCGA-DK-A3IN,1.674188607,-0.12126541,2.678825588,2.106289512
TCGA-DK-A3IQ,1.481536891,-0.309985504,1.680789704,0.88460847
TCGA-DK-A3IS,1.70983852,-0.442419883,2.502734463,0.872412693
TCGA-DK-A3IT,1.600316762,-0.174494549,2.449926271,0.575222495
TCGA-DK-A3IU,1.751693988,1.010626897,3.720689986,2.746740814
TCGA-DK-A3IV,1.73192752,0.563611927,3.015534061,1.876788055
TCGA-DK-A3WW,1.743398366,0.556915185,3.702299793,3.291353308
TCGA-DK-A3WX,1.732103747,-0.043179182,3.164654074,1.888784164
TCGA-DK-A3WY,1.71786908,1.36637042,3.216094742,1.817354451
TCGA-DK-A3X1,1.586947165,-0.615686273,2.199906401,1.022890053
TCGA-DK-A3X2,1.350857243,-0.110131278,1.604861579,1.260481626
TCGA-DK-A6AV,1.557045466,-0.418554584,2.365471186,0.681449287
TCGA-DK-A6AW,1.561937344,-0.512674461,2.193183376,1.497338854
TCGA-DK-A6B0,1.550993102,-0.765406385,1.695214777,0.686600523
TCGA-DK-A6B1,1.588497595,-0.116004984,1.830342336,1.024399457
TCGA-DK-A6B2,1.725172873,-0.352096281,2.899860956,1.43746358
TCGA-DK-A6B5,1.725020947,-0.581952693,2.788107562,1.306883743
TCGA-DK-A6B6,1.710312194,-0.097251408,2.952764349,1.511467576
TCGA-DK-AA6L,1.710794095,-0.573468343,2.474213603,1.259987862
TCGA-DK-AA6M,1.722713157,-0.432295863,2.874685557,1.695148823
TCGA-DK-AA6P,1.403274089,-0.510803564,1.677708008,0.327747071
TCGA-DK-AA6Q,1.741840688,-0.338639695,3.072697731,1.658671404
TCGA-DK-AA6R,1.687672707,-0.228890923,2.895242148,2.508462381
TCGA-DK-AA6S,1.65123626,0.048753085,3.347280387,1.480472625
TCGA-DK-AA6T,1.664488442,0.326573987,2.56247217,1.50066589
TCGA-DK-AA6U,1.617356372,-0.542474972,2.124953414,1.291517586
TCGA-DK-AA6W,1.412670167,-0.44525711,2.600390104,0.996428483
TCGA-DK-AA6X,1.67637216,0.06727467,2.581095287,1.106323512
TCGA-DK-AA71,1.594736696,-0.446189788,2.551646566,0.92703142
TCGA-DK-AA74,1.743391685,0.297445432,3.410779366,1.630472624
TCGA-DK-AA75,1.361995178,-0.592766679,1.730349826,1.043193244
TCGA-DK-AA76,1.445220827,-0.752003696,1.193675911,0.717129378
TCGA-DK-AA77,1.737287437,-0.269949181,3.097375545,1.324788494
TCGA-E5-A2PC,1.736499056,-0.178575625,3.017442456,1.197592035
TCGA-E5-A4TZ,1.526130871,-0.518210937,2.033475301,1.272764952
TCGA-E5-A4U1,1.440185487,-0.607183438,1.328048061,0.51839548
TCGA-E7-A3X6,1.745446105,0.0171216,3.522838925,1.600979426
TCGA-E7-A3Y1,1.479759628,-0.529769617,1.712929411,0.835125939
TCGA-E7-A4IJ,1.713400973,-0.552459804,2.609861072,0.909940947
TCGA-E7-A4XJ,1.44673809,-0.686498863,1.377036505,0
TCGA-E7-A519,1.608902329,-0.148179593,2.014903081,0.604020741
TCGA-E7-A541,1.744352558,-0.109044208,2.919902967,1.183887384
TCGA-E7-A5KE,1.195628312,-0.72544622,1.377974846,0.839302031
TCGA-E7-A5KF,1.564415864,-0.296375878,1.85832247,1.033580556
TCGA-E7-A677,1.648965126,-0.272605598,2.506128308,1.852388489
TCGA-E7-A678,1.585843341,-0.56481081,1.943849046,0.745558807
TCGA-E7-A6MD,1.582717601,0.060706918,2.366353237,1.344500343
TCGA-E7-A6ME,1.715880509,-0.344435922,2.701996882,1.187498159
TCGA-E7-A6MF,1.508793701,0.16354785,1.960278098,1.635926863
TCGA-E7-A7DU,1.584096054,-0.638554377,1.814768012,0.856021605
TCGA-E7-A7DV,1.69763109,-0.570506803,2.890484274,1.8173108
TCGA-E7-A7PW,1.517571948,-0.691194824,2.361112443,1.003632837
TCGA-E7-A7XN,1.754467966,0.504857895,3.959967125,2.755417463
TCGA-E7-A85H,1.604540316,-0.712983707,2.84792888,1.76095447
TCGA-E7-A8O7,1.652328428,-0.219149765,2.32932367,1.619424145
TCGA-E7-A8O8,1.610413167,-0.630130373,2.133497914,0.934483301
TCGA-E7-A97P,1.748712577,0.563640552,3.931272703,2.360735379
TCGA-E7-A97Q,1.641531188,-0.328063554,2.60114605,1.364498464
TCGA-FD-A3B3,1.751032483,0.700102183,3.544392158,2.438230557
